"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"248",1,4,2,3,1,3,3,1,2,2,2,3,1,3
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",1,2,3,1,1,1,1,1,2,2,2,3,1,1
"251",5,2,3,5,1,4,5,5,5,4,3,5,4,2
"252",3,4,2,4,1,1,5,5,4,1,2,4,2,3
"253",1,4,4,1,1,4,4,3,4,4,4,2,1,2
"254",2,3,4,4,2,3,4,5,5,4,3,5,2,4
"255",2,3,4,4,4,4,2,3,4,4,4,3,1,2
"256",4,4,3,3,2,4,3,4,5,4,3,3,4,4
"257",1,3,2,3,1,2,3,2,1,2,2,3,1,4
"258",3,3,3,3,3,4,3,1,1,3,3,1,1,1
"259",3,4,4,5,4,5,3,4,4,5,3,4,3,3
"260",5,5,2,5,1,2,4,5,5,3,3,4,3,3
"261",4,4,3,5,1,4,5,5,4,3,4,5,2,4
"262",3,4,1,5,1,3,4,5,5,3,3,4,2,2
"263",3,4,2,4,2,3,4,3,4,4,3,4,1,4
"264",3,3,2,4,1,3,5,5,4,2,3,5,3,1
"265",3,3,3,5,1,2,3,5,5,3,2,5,2,3
"266",1,2,1,1,1,2,3,1,3,2,1,3,1,1
"267",1,3,2,5,3,5,3,5,4,3,5,4,2,3
"268",2,5,1,4,1,4,2,5,4,4,2,2,3,3
"269",3,4,4,4,2,3,4,4,4,3,4,4,1,4
"270",1,3,4,2,2,4,3,2,2,5,2,3,3,2
"271",1,3,1,1,1,3,5,5,5,3,4,3,1,3
"272",3,4,2,2,2,4,4,4,4,4,3,4,3,3
"273",4,3,1,3,1,2,3,2,2,3,3,3,1,3
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",3,4,1,4,1,1,5,4,4,2,1,4,3,4
"276",1,4,3,4,1,2,1,3,3,3,2,4,1,3
"277",2,3,1,2,1,3,2,2,3,3,1,3,3,3
"278",1,4,3,4,2,1,5,3,5,1,3,4,2,3
"279",4,5,5,5,4,4,4,4,4,5,4,4,3,1
"280",1,1,1,1,1,2,1,1,2,1,1,1,1,2
"281",2,2,1,1,1,2,1,1,2,1,3,3,1,1
"282",1,3,3,2,1,3,3,2,3,2,3,2,2,1
"283",2,2,4,4,2,2,4,2,2,3,2,4,1,2
"284",3,3,1,4,1,5,3,4,4,1,1,2,1,3
"285",1,4,3,3,2,3,4,4,4,3,3,4,1,3
"286",2,5,3,4,1,5,4,4,3,5,2,5,2,3
"287",5,3,2,4,1,5,3,5,5,5,3,5,3,3
"288",4,4,2,4,2,4,3,4,4,4,2,4,3,4
"289",1,5,1,2,1,1,3,3,3,1,3,4,1,2
"290",2,5,2,3,2,4,2,5,4,5,5,4,2,2
"291",1,3,1,3,1,1,3,2,4,1,2,3,1,4
"292",3,5,3,3,2,4,4,3,4,4,3,4,2,2
"293",1,5,2,4,1,3,4,3,4,3,4,4,1,3
"294",2,2,1,2,1,3,1,1,2,3,2,3,1,1
"295",3,5,1,4,1,4,3,3,3,4,1,4,2,4
"296",3,3,2,3,1,4,3,5,4,4,5,3,1,2
"297",3,3,5,4,3,4,5,5,5,5,5,5,1,4
"298",1,3,1,3,1,1,1,2,2,1,1,2,1,1
"299",3,3,2,3,3,4,3,2,4,4,4,4,4,1
"300",4,4,1,5,1,5,5,1,4,3,3,3,3,3
"301",5,3,2,4,1,3,4,5,5,3,3,4,3,3
"302",4,5,1,3,1,4,5,3,3,3,3,4,2,3
"303",1,3,3,3,3,2,4,4,3,3,3,3,2,3
"304",1,2,3,3,1,3,1,4,4,3,3,3,2,2
"305",3,5,2,4,1,5,3,4,3,3,3,4,3,2
"306",1,3,2,3,1,1,4,2,2,2,2,3,1,2
"307",4,3,3,4,4,4,4,3,4,4,2,4,3,3
"308",3,4,3,3,2,4,3,1,2,4,2,4,1,3
"309",4,3,2,4,2,4,3,3,4,3,2,4,2,2
"310",3,5,5,5,4,5,3,3,5,5,5,5,3,3
"311",1,3,1,4,1,1,2,3,4,1,1,1,1,1
"312",2,4,3,4,2,3,5,5,4,4,3,5,2,2
"313",1,3,1,3,1,1,3,2,3,1,1,3,1,2
"314",4,5,5,5,3,2,5,5,5,1,5,5,1,1
"315",3,4,3,4,2,3,4,3,4,3,3,4,4,3
"316",4,3,4,5,3,4,1,5,5,4,4,5,3,4
"317",3,4,3,2,2,2,4,2,3,3,2,4,1,2
"318",4,5,3,3,3,3,5,3,3,4,3,4,1,4
"319",1,5,1,5,1,3,5,3,5,3,1,3,1,1
"320",3,3,4,3,3,3,3,4,4,3,4,3,2,2
"321",3,3,1,5,1,5,4,3,5,4,2,5,3,5
"322",3,3,3,4,2,4,4,5,4,4,3,4,3,3
"323",4,3,4,5,4,4,4,5,4,4,3,4,3,4
"324",4,5,4,5,3,3,4,4,4,3,4,3,2,3
"325",2,5,4,4,2,4,1,4,5,4,1,5,3,1
"326",4,5,5,4,5,5,3,5,5,5,5,5,4,4
"327",4,4,5,3,3,5,4,3,5,4,5,3,4,3
"328",2,1,2,4,2,5,1,3,2,3,2,1,1,1
"329",1,4,3,3,3,3,4,3,3,3,3,4,1,3
"330",1,3,3,4,2,4,4,4,3,3,4,5,2,4
"331",1,3,3,1,1,2,1,3,1,2,2,2,1,1
"332",3,3,1,4,1,4,2,4,3,4,1,3,2,2
"333",1,2,1,1,1,1,2,2,1,1,1,1,1,3
"334",2,4,4,5,3,3,3,5,4,2,4,5,3,4
"335",3,4,1,1,1,4,2,2,3,3,3,4,1,1
"336",1,2,2,2,1,2,2,2,3,2,2,2,1,2
"337",1,3,3,3,3,3,3,3,3,4,3,3,1,1
"338",4,5,5,5,5,4,4,5,4,4,5,5,3,5
"339",1,3,3,3,2,2,3,3,3,3,3,3,2,2
"340",2,4,1,4,1,3,4,3,3,3,1,4,1,1
"341",3,3,1,5,1,2,3,4,4,2,3,4,2,2
"342",1,4,1,3,1,3,3,1,3,4,2,4,1,3
"343",1,5,1,3,1,3,4,3,1,4,1,3,2,1
"344",2,4,2,4,1,4,5,5,5,4,4,4,2,4
"345",1,4,3,5,3,3,4,5,4,4,4,3,1,4
"346",2,4,2,3,1,4,4,3,3,3,2,3,1,3
"347",4,4,3,4,3,3,3,4,4,3,3,3,3,3
"348",4,3,2,4,3,5,4,3,4,5,3,3,1,3
"349",1,4,1,4,3,4,4,5,4,4,4,4,3,4
"350",1,2,2,5,2,1,5,3,4,3,2,4,1,4
"351",1,3,2,2,1,1,2,2,2,2,3,2,1,1
"352",4,4,1,4,3,5,3,5,4,5,2,4,3,4
"353",1,5,1,4,1,3,4,4,4,4,3,3,1,3
"354",1,4,1,2,1,4,4,3,3,3,2,4,1,3
"355",1,3,1,3,1,2,4,3,2,3,2,5,1,2
"356",3,4,2,3,2,4,1,4,4,4,2,4,2,3
"357",5,3,3,4,2,2,5,3,5,1,3,4,1,5
"358",2,2,1,3,1,2,2,2,4,3,1,4,1,2
"359",4,4,1,4,1,2,4,3,4,4,2,4,3,3
"360",3,3,4,3,4,5,3,4,5,4,4,2,2,3
"361",1,2,1,2,1,1,1,2,2,2,1,1,1,1
"362",1,3,3,3,1,1,3,3,4,3,1,4,1,3
"363",2,5,3,3,2,3,3,3,4,2,2,4,1,2
"364",3,3,2,2,2,2,2,1,3,3,2,4,1,1
"365",1,2,1,1,1,2,1,1,2,2,2,1,1,1
"366",1,4,3,3,1,2,5,3,3,3,4,4,1,3
"367",3,4,3,5,1,4,4,4,3,4,3,4,1,2
"368",2,3,1,1,1,2,1,1,2,3,2,3,2,2
"369",1,4,2,2,1,1,2,2,1,1,1,3,1,3
"370",3,3,3,3,3,4,3,3,3,4,2,4,2,2
"371",4,2,2,5,2,2,4,5,5,3,3,5,2,5
"372",1,3,1,4,1,2,4,3,4,1,2,4,2,2
"373",3,4,3,4,2,3,4,4,3,3,3,3,3,3
"374",1,4,1,2,1,4,3,3,3,4,2,4,1,3
"375",3,4,2,3,1,1,5,4,4,2,2,4,1,2
"376",1,2,1,2,1,1,2,3,1,1,1,2,1,1
"377",3,4,3,4,1,1,4,3,5,3,3,5,2,2
"378",1,2,2,2,1,2,1,1,3,2,2,2,1,2
"379",1,3,2,1,1,3,2,1,2,3,2,1,3,1
"380",3,4,1,4,1,2,4,2,4,3,2,4,1,5
"381",2,3,2,2,1,2,2,2,3,3,3,2,3,2
"382",3,2,1,4,1,3,4,4,4,3,1,4,3,4
"383",1,4,3,3,3,4,4,3,1,4,3,3,1,3
"384",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"385",3,3,2,4,2,3,3,3,5,3,3,3,2,3
"386",2,4,2,4,2,4,4,4,5,5,4,4,2,5
"387",4,4,4,4,1,3,4,5,5,4,4,4,1,4
"388",1,4,2,2,3,4,3,3,4,4,3,5,1,3
"389",1,5,3,5,2,4,5,3,5,4,3,5,1,4
"390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",2,4,2,5,1,3,2,4,5,3,1,4,2,3
"392",1,2,1,4,1,1,4,5,3,1,2,4,1,2
"393",4,5,4,2,4,4,4,4,4,2,4,4,4,3
"394",1,5,1,1,1,1,4,3,2,1,1,4,1,2
"395",1,4,1,4,1,2,4,3,2,2,2,2,1,2
"396",3,4,4,3,3,3,4,4,4,4,4,5,2,4
"397",1,3,1,2,1,1,1,2,2,2,3,2,1,2
"398",4,4,3,3,1,4,3,2,4,3,4,3,4,2
"399",3,5,1,4,1,4,3,4,4,5,2,5,3,2
"400",1,3,1,3,1,3,4,3,4,3,2,5,1,3
"401",4,4,3,5,2,3,3,5,4,3,4,3,3,3
